"","SPEC","elpd_diff","SE_diff","waic_diff"
"1","BCCH",-0.397,2.761,0.714
"2","MGWA",-2.488,2.41,4.528
"3","ORJU",-6.978,3.582,13.878
"4","SOSP",-5.63,3.433,10.91
"5","WIWA",-1.628,3.335,4.847
"6","AMRO",-4,2.705,8.148
"7","AUWA",-2.255,2.679,4.398
"8","SWTH",-0.231,1.854,0.607
"9","DOWO",-2.275,2.415,4.544
"10","LISP",-3.549,2.062,6.256
"11","YEWA",-1.1,1.977,2.082
"12","GRCA",-1.18,2.145,2.487
"13","HOWR",-3.409,4.057,6.849
"14","COYE",-1.849,3.438,3.527
"15","BEWR",-0.089,2.3,0.304
"16","NOCA",-1.034,1.31,1.847
"17","OVEN",-0.256,2.307,0.173
"18","CARW",-2.433,2.397,4.825
"19","TUTI",-0.887,1.319,1.685
"20","WOTH",-1.989,1.427,2.916
